,X_KMean2,X_KMean3,X_KMean4,X_KMean5,X_KMean6,Y_KMean2,Y_KMean3,Y_KMean4,Y_KMean5,Y_KMean6,Color_KMean2,Color_KMean3,Color_KMean4,Color_KMean5,Color_KMean6
1,-73.9707598148,-73.9189875666,-73.8271414574,-74.1209866732,-73.9723634906,40.6682039749,40.821602619,40.7129782157,40.5994202743,40.6323914928,0,0,3,0,2
2,-73.8937107103,-73.9835022786,-73.917953086,-73.9552615493,-73.8855982893,40.7962207545,40.6677152295,40.824172512,40.7453154073,40.8513454741,1,2,2,1,1
3,,-73.8374824204,-74.082838268,-73.8254567667,-73.9463088638,,40.7101442982,40.6044459515,40.7115733117,40.8002536509,1,1,1,3,0
4,,,-73.9585652804,-73.9075490671,-73.9538433236,,,40.6841168079,40.8399081376,40.7064411514,1,1,0,4,3
5,,,,-73.9621751167,-74.1217920172,,,,40.652669321,40.5992206406,1,1,0,2,4
6,,,,,-73.82522446,,,,,40.7117186284,1,1,0,2,5
