,X_KMean2,X_KMean3,X_KMean4,X_KMean5,X_KMean6,Y_KMean2,Y_KMean3,Y_KMean4,Y_KMean5,Y_KMean6,Color_KMean2,Color_KMean3,Color_KMean4,Color_KMean5,Color_KMean6
1,-73.9248253869,-73.8297229279,-73.9092366193,-73.9566801202,-73.9649361552,40.6793920728,40.6996804121,40.8372878541,40.7580889288,40.7540222781,0,0,3,0,2
2,-73.9061442079,-73.9674689124,-73.8213974119,-73.901387397,-73.90246726,40.8309584679,40.6750986184,40.7005513782,40.8474132333,40.8463293274,1,2,2,1,1
3,,-73.9098763159,-73.946702049,-73.8190100012,-73.9574289983,,40.8358072877,40.6873607844,40.6996761241,40.6530271222,1,1,1,3,0
4,,,-74.071554085,-74.1100770416,-73.7954788947,,,40.6123354863,40.6114364167,40.6904696849,1,1,0,4,3
5,,,,-73.9422087747,-74.1204348566,,,,40.6652474206,40.6093374805,1,1,0,2,4
6,,,,,-73.8936214308,,,,,40.7049431007,1,1,0,2,5
