,X,Y,Z3,Z15,Z30
266,-73.8312771007,40.5394231013,0,1,1
267,-73.8212771007,40.5394231013,1,0,0
268,-73.8112771007,40.5394231013,0,0,1
269,-73.8012771007,40.5394231013,0,1,1
270,-73.7912771007,40.5394231013,1,1,1
271,-73.7812771007,40.5394231013,1,1,1
272,-73.7712771007,40.5394231013,1,1,1
273,-73.7612771007,40.5394231013,1,1,1
274,-73.7512771007,40.5394231013,0,1,1
275,-73.7412771007,40.5394231013,0,1,0
276,-73.7312771007,40.5394231013,0,1,1
277,-73.7212771007,40.5394231013,0,1,1
278,-73.7112771007,40.5394231013,0,1,1
279,-73.7012771007,40.5394231013,0,1,1
280,-74.2512771007,40.5494231013,1,1,1
281,-74.2412771007,40.5494231013,1,0,1
282,-74.2312771007,40.5494231013,0,1,1
283,-74.2212771007,40.5494231013,0,1,1
284,-74.2112771007,40.5494231013,0,0,1
285,-74.2012771007,40.5494231013,1,1,1
286,-74.1912771007,40.5494231013,1,1,1
287,-74.1812771007,40.5494231013,1,1,1
288,-74.1712771007,40.5494231013,1,1,1
289,-74.1612771007,40.5494231013,0,1,1
290,-74.1512771007,40.5494231013,0,1,1
291,-74.1412771007,40.5494231013,1,0,1
292,-74.1312771007,40.5494231013,0,1,1
293,-74.1212771007,40.5494231013,0,0,0
294,-74.1112771007,40.5494231013,1,1,1
295,-74.1012771007,40.5494231013,1,2,2
296,-74.0912771007,40.5494231013,2,2,2
297,-74.0812771007,40.5494231013,1,2,2
298,-74.0712771007,40.5494231013,1,1,1
299,-74.0612771007,40.5494231013,2,1,1
300,-74.0512771007,40.5494231013,2,1,1
301,-74.0412771007,40.5494231013,2,2,2
302,-74.0312771007,40.5494231013,2,2,2
303,-74.0212771007,40.5494231013,2,2,2
304,-74.0112771007,40.5494231013,0,0,0
305,-74.0012771007,40.5494231013,1,1,0
306,-73.9912771007,40.5494231013,0,0,0
307,-73.9812771007,40.5494231013,1,1,1
308,-73.9712771007,40.5494231013,1,0,0
309,-73.9612771007,40.5494231013,2,0,0
310,-73.9512771007,40.5494231013,0,1,1
311,-73.9412771007,40.5494231013,0,1,1
312,-73.9312771007,40.5494231013,0,1,1
313,-73.9212771007,40.5494231013,0,1,0
314,-73.9112771007,40.5494231013,1,0,0
315,-73.9012771007,40.5494231013,1,0,0
316,-73.8912771007,40.5494231013,1,1,1
317,-73.8812771007,40.5494231013,1,1,1
318,-73.8712771007,40.5494231013,1,1,1
319,-73.8612771007,40.5494231013,1,1,1
320,-73.8512771007,40.5494231013,1,1,1
321,-73.8412771007,40.5494231013,1,1,1
322,-73.8312771007,40.5494231013,0,0,1
323,-73.8212771007,40.5494231013,1,0,1
324,-73.8112771007,40.5494231013,1,1,1
325,-73.8012771007,40.5494231013,0,1,1
326,-73.7912771007,40.5494231013,1,1,1
327,-73.7812771007,40.5494231013,1,1,1
328,-73.7712771007,40.5494231013,1,1,1
329,-73.7612771007,40.5494231013,1,1,1
330,-73.7512771007,40.5494231013,0,1,1
331,-73.7412771007,40.5494231013,0,1,0
332,-73.7312771007,40.5494231013,0,1,1
333,-73.7212771007,40.5494231013,0,1,1
334,-73.7112771007,40.5494231013,0,1,1
335,-73.7012771007,40.5494231013,0,1,1
336,-74.2512771007,40.5594231013,1,1,1
337,-74.2412771007,40.5594231013,0,1,1
338,-74.2312771007,40.5594231013,0,1,1
339,-74.2212771007,40.5594231013,1,0,1
340,-74.2112771007,40.5594231013,2,0,1
341,-74.2012771007,40.5594231013,2,1,1
342,-74.1912771007,40.5594231013,2,1,1
343,-74.1812771007,40.5594231013,1,1,1
344,-74.1712771007,40.5594231013,2,1,1
345,-74.1612771007,40.5594231013,0,0,1
346,-74.1512771007,40.5594231013,1,1,1
347,-74.1412771007,40.5594231013,2,1,1
348,-74.1312771007,40.5594231013,1,0,0
349,-74.1212771007,40.5594231013,0,0,0
