,X_KMean2,X_KMean3,X_KMean4,X_KMean5,X_KMean6,Y_KMean2,Y_KMean3,Y_KMean4,Y_KMean5,Y_KMean6,Color_KMean2,Color_KMean3,Color_KMean4,Color_KMean5,Color_KMean6
1,-73.8984159913,-73.8456819714,-73.9568698536,-73.82778582,-73.9654024908,40.8106116449,40.7102901796,40.7550784428,40.7134331475,40.7159965624,0,0,3,0,2
2,-73.9617991856,-73.9136598075,-73.8372404775,-73.9465518731,-73.8323062913,40.6604785806,40.83075858,40.7080922,40.7901939177,40.7137212801,1,2,2,1,1
3,,-73.9777583842,-73.9772929344,-74.0192254857,-73.8821901487,,40.659928137,40.6397049622,40.6064890341,40.8569731681,1,1,1,3,0
4,,,-73.9025007025,-73.8927244052,-73.9560154029,,,40.8455583496,40.8520763213,40.6341631498,1,1,0,4,3
5,,,,-73.9521288974,-74.0926047617,,,,40.6753930473,40.6108468913,1,1,0,2,4
6,,,,,-73.9370833467,,,,,40.8126617904,1,1,0,2,5
