,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2013038,-73.9201972536,40.7023154746,0,0,3,1,0
2013040,-73.9268939659,40.8608201299,1,1,2,2,2
2013041,-73.9860550283,40.7116086174,0,0,3,0,1
2013042,-73.9415634406,40.7137273105,0,0,3,0,1
2013043,-73.9708629418,40.5939424727,0,0,3,1,4
2013044,-73.9204677834,40.8080926972,1,1,2,2,2
2013045,-73.8831219448,40.7535558874,1,2,0,0,0
2013046,-73.9478593725,40.6750785011,0,0,3,1,4
2013047,-73.8314652749,40.7077312499,0,2,0,4,5
2013048,-73.8597684598,40.7180044389,0,2,0,4,0
2013050,-73.9282412588,40.7044260062,0,0,3,1,0
2013051,-74.0004290918,40.6881966043,0,0,3,1,4
2013053,-73.962400829,40.6458303088,0,0,3,1,4
2013054,-74.0098622936,40.6420976354,0,0,1,1,4
2013055,-73.9031151288,40.7528882514,0,1,3,0,0
2013056,-73.9780947941,40.7646881422,1,0,3,0,1
2013058,-73.9623735284,40.7198019138,0,0,3,0,1
2013059,-73.8989068552,40.8550296384,1,1,2,2,2
2013060,-73.9656993693,40.6923388405,0,0,3,1,4
2013061,-73.8820418651,40.7540543307,1,2,0,0,0
2013062,-73.9495842438,40.8112216229,1,1,2,0,2
2013063,-73.9889563909,40.5950847275,0,0,1,1,4
2013066,-73.9412049016,40.8216668044,1,1,2,2,2
2013067,-73.8337051144,40.8769034562,1,1,2,2,2
2013068,-73.8077601852,40.8217822951,1,1,2,2,2
2013069,-73.8278875544,40.7481260993,1,2,0,4,5
2013072,-73.9879229528,40.734513834,0,0,3,0,1
2013073,-73.8532042189,40.7092322206,0,2,0,4,0
2013074,-73.9349856049,40.8451280141,1,1,2,2,2
2013075,-73.9015757358,40.8567199385,1,1,2,2,2
2013077,-73.8467053261,40.842181742,1,1,2,2,2
2013078,-73.8717002623,40.7225719141,0,2,0,4,0
2013079,-73.8740869702,40.7463194376,0,2,0,4,0
2013080,-73.9121827308,40.6864229121,0,0,3,1,0
2013081,-73.9322061057,40.7033524615,0,0,3,1,0
2013082,-73.942691652,40.7860272883,1,1,2,0,1
2013083,-73.7580972395,40.7148219467,0,2,0,4,5
2013084,-73.9744281149,40.7243834795,0,0,3,0,1
2013085,-73.9441849239,40.6847054437,0,0,3,1,4
2013089,-74.0152737594,40.6389323059,0,0,1,1,4
2013090,-73.9304605647,40.8519569474,1,1,2,2,2
2013091,-73.9584694333,40.6573295958,0,0,3,1,4
2013093,-73.8683161114,40.6879565748,0,2,0,4,0
2013099,-73.9985838108,40.6460313261,0,0,3,1,4
2013100,-73.8895470608,40.8272857577,1,1,2,2,2
2013101,-74.1133094523,40.6374666726,0,0,1,3,3
2013102,-74.0007322271,40.7106872196,0,0,3,0,1
2013103,-73.9143635468,40.7458843288,0,0,3,0,0
2013104,-73.8447938201,40.8838410189,1,1,2,2,2
2013105,-74.0062630285,40.6085455715,0,0,1,1,4
2013106,-73.8704793004,40.8329008212,1,1,2,2,2
2013107,-73.8694668753,40.8608353242,1,1,2,2,2
2013114,-73.8298564692,40.6865886455,0,2,0,4,5
2013116,-73.888283588,40.8717652545,1,1,2,2,2
2013117,-73.8281826423,40.7862400831,1,2,0,4,2
2013119,-73.9071938007,40.7191064252,0,0,3,0,0
2013120,-73.918461639,40.7442926027,0,0,3,0,0
2013122,-73.9202968118,40.8060724615,1,1,2,2,2
2013123,-73.9819605029,40.7134168467,0,0,3,0,1
2013124,-73.9141631903,40.7837451649,1,1,2,0,1
2013128,-74.1169541737,40.5728285133,0,0,1,3,3
2013129,-73.8533571922,40.7429902269,0,2,0,4,0
2013132,-73.8440991633,40.6865676511,0,2,0,4,5
2013133,-73.8815551628,40.7009592182,0,2,0,4,0
2013134,-73.848610568,40.7402859912,0,2,0,4,0
2013136,-73.883411199,40.8543151198,1,1,2,2,2
2013138,-73.891025458,40.871084447,1,1,2,2,2
2013139,-73.9546888942,40.6782461186,0,0,3,1,4
2013140,-73.8112536633,40.6805101449,0,2,0,4,5
2013141,-73.9843948373,40.5923393995,0,0,1,1,4
2013142,-73.9404805687,40.8114752865,1,1,2,2,2
2013143,-73.8525981036,40.7305033596,0,2,0,4,0
2013144,-73.9487411705,40.8223757932,1,1,2,2,2
2013145,-73.924978833,40.7702787957,1,1,2,0,1
2013146,-73.9843940687,40.5802211029,0,0,1,1,4
2013147,-73.9783995513,40.7154748046,0,0,3,0,1
2013148,-73.8785852098,40.7494724968,0,2,0,4,0
2013151,-73.9405443864,40.808782746,1,1,2,0,2
2013153,-73.8770787985,40.8793264749,1,1,2,2,2
2013155,-73.9411187368,40.83738025,1,1,2,2,2
2013156,-73.9813272606,40.6432493521,0,0,3,1,4
2013157,-73.8906859609,40.6970953835,0,2,3,1,0
2013176,-73.9265413085,40.862617684,1,1,2,2,2
2013177,-73.9377908961,40.8367801561,1,1,2,2,2
2013178,-73.8597023486,40.8830806115,1,1,2,2,2
2013181,-73.9491634804,40.6715822402,0,0,3,1,4
2013183,-73.9077668322,40.7690394038,1,1,2,0,1
2013184,-73.9379971209,40.8055069479,1,1,2,0,2
2013185,-73.9636574537,40.6013650991,0,0,3,1,4
2013186,-73.8172821606,40.7791062049,1,2,0,4,5
2013187,-73.9390020699,40.8440872192,1,1,2,2,2
2013188,-73.9672194832,40.7983469913,1,1,2,0,1
2013190,-73.9382488575,40.7015827431,0,0,3,1,0
2013192,-73.880487195,40.7494882097,0,2,0,0,0
2013193,-73.8767788282,40.8265509608,1,1,2,2,2
2013194,-73.9437938959,40.7080165693,0,0,3,1,0
2013197,-73.9641965682,40.7980771086,1,1,2,0,1
2013198,-73.9953378949,40.7367376231,0,0,3,0,1
2013199,-73.8572194747,40.8318257071,1,1,2,2,2
2013200,-73.9511159642,40.6734660028,0,0,3,1,4
2013201,-73.9536058749,40.7062231215,0,0,3,1,1
2013202,-73.8838974237,40.7538613387,1,2,0,0,0
2013203,-73.923126806,40.6701624632,0,0,3,1,4
2013204,-73.8697258874,40.8338057285,1,1,2,2,2
2013205,-73.975616559,40.7203187502,0,0,3,0,1
2013206,-73.8238831221,40.7666224077,1,2,0,4,5
2013207,-73.9340231015,40.6676659908,0,0,3,1,4
2013208,-73.9453047149,40.6382505844,0,0,3,1,4
2013209,-73.9624276499,40.7133874259,0,0,3,0,1
2013210,-73.8236555083,40.6876113458,0,2,0,4,5
2013211,-73.9429521822,40.7559066431,0,0,3,0,1
2013214,-73.8128721315,40.6729289597,0,2,0,4,5
2013215,-73.7710040709,40.7463115794,1,2,0,4,5
2013216,-73.9909802387,40.7268397787,0,0,3,0,1
2013217,-73.8025429831,40.714610324,0,2,0,4,5
2013218,-73.9676679438,40.6483845593,0,0,3,1,4
2013219,-73.9296394472,40.6713990355,0,0,3,1,4
2013220,-73.9072145887,40.7430434634,0,2,3,0,0
2013221,-73.9538008283,40.6539105624,0,0,3,1,4
2013222,-73.9118629118,40.6555905814,0,0,3,1,4
2013223,-73.8144341574,40.8176624184,1,1,2,2,2
2013225,-73.9285970241,40.8605302582,1,1,2,2,2
2013226,-73.8514612735,40.7403391088,0,2,0,4,0
2013229,-73.9473580131,40.8306834241,1,1,2,2,2
2013230,-73.870108553,40.6803693096,0,2,0,4,0
2013231,-73.9162531633,40.8188243213,1,1,2,2,2
2013232,-73.9406178686,40.8195448362,1,1,2,2,2
2013234,-73.8616819879,40.6824729662,0,2,0,4,0
2013235,-73.9362092737,40.7638628654,1,1,3,0,1
2013236,-73.9008687626,40.8799284909,1,1,2,2,2
2013237,-73.896350053,40.8186187621,1,1,2,2,2
2013238,-74.0101806649,40.6504801781,0,0,1,1,4
2013239,-73.9127300263,40.8440511214,1,1,2,2,2
2013240,-73.8693681005,40.8577474219,1,1,2,2,2
2013270,-73.9702780015,40.7998244839,1,1,2,0,1
2013274,-73.93871788,40.8112492958,1,1,2,2,2
2013275,-73.9111500079,40.8471953501,1,1,2,2,2
2013278,-73.9505284169,40.7073911096,0,0,3,1,1
2013280,-73.915599746,40.7443509256,0,0,3,0,0
2013281,-73.920250987,40.744829082,0,0,3,0,1
2013282,-73.9038495485,40.8367101948,1,1,2,2,2
2013283,-73.9588902007,40.6120297693,0,0,3,1,4
2013285,-73.9359125167,40.5995633681,0,0,3,1,4
2013286,-73.9005320818,40.8584235036,1,1,2,2,2
2013288,-73.9273539595,40.7541192665,0,1,3,0,1
2013289,-73.8758175029,40.830521535,1,1,2,2,2
2013291,-73.9527070923,40.783457273,1,1,2,0,1
2013293,-73.9293946565,40.8617713533,1,1,2,2,2
2013295,-73.9733124043,40.6906171426,0,0,3,1,4
2013296,-73.9968273545,40.6025236162,0,0,1,1,4
2013297,-73.9576932445,40.6536924774,0,0,3,1,4
2013298,-73.9169610774,40.818995006,1,1,2,2,2
2013299,-73.9386825646,40.6770529593,0,0,3,1,4
2013300,-73.9706886742,40.7858703808,1,1,2,0,1
2013301,-73.8501001478,40.8320609531,1,1,2,2,2
2013302,-73.8690480752,40.7228488938,0,2,0,4,0
2013303,-73.8877247442,40.8515445017,1,1,2,2,2
2013304,-73.9703270554,40.6330583917,0,0,3,1,4
2013305,-73.8562778242,40.7474870696,0,2,0,4,0
2013306,-73.9761806603,40.7872742052,1,1,2,0,1
2013307,-73.9175583553,40.8239002467,1,1,2,2,2
2013309,-73.8622833246,40.8906069136,1,1,2,2,2
2013311,-73.9151024898,40.8315424984,1,1,2,2,2
