,X,Y,Z3,Z15,Z30
148,-73.8706958083,40.5194231013,1,2,1
149,-73.8606958083,40.5194231013,1,2,1
150,-73.8506958083,40.5194231013,2,2,1
151,-73.8406958083,40.5194231013,2,2,1
152,-73.8306958083,40.5194231013,0,2,2
153,-73.8206958083,40.5194231013,0,1,1
154,-73.8106958083,40.5194231013,0,1,1
155,-73.8006958083,40.5194231013,0,1,1
156,-73.7906958083,40.5194231013,0,0,0
157,-73.7806958083,40.5194231013,0,0,0
158,-73.7706958083,40.5194231013,0,0,0
159,-73.7606958083,40.5194231013,2,0,0
160,-73.7506958083,40.5194231013,0,1,0
161,-73.7406958083,40.5194231013,0,1,0
162,-73.7306958083,40.5194231013,0,1,0
163,-73.7206958083,40.5194231013,0,1,0
164,-73.7106958083,40.5194231013,0,1,0
165,-74.2506958083,40.5294231013,2,1,2
166,-74.2406958083,40.5294231013,1,2,2
167,-74.2306958083,40.5294231013,1,1,2
168,-74.2206958083,40.5294231013,1,2,2
169,-74.2106958083,40.5294231013,2,2,2
170,-74.2006958083,40.5294231013,2,2,2
171,-74.1906958083,40.5294231013,0,2,2
172,-74.1806958083,40.5294231013,2,2,2
173,-74.1706958083,40.5294231013,1,1,1
174,-74.1606958083,40.5294231013,1,1,2
175,-74.1506958083,40.5294231013,0,1,2
176,-74.1406958083,40.5294231013,2,1,1
177,-74.1306958083,40.5294231013,2,2,2
178,-74.1206958083,40.5294231013,2,2,2
179,-74.1106958083,40.5294231013,2,2,2
180,-74.1006958083,40.5294231013,2,2,2
181,-74.0906958083,40.5294231013,2,2,2
182,-74.0806958083,40.5294231013,2,2,2
183,-74.0706958083,40.5294231013,2,2,2
184,-74.0606958083,40.5294231013,2,2,2
185,-74.0506958083,40.5294231013,2,2,2
186,-74.0406958083,40.5294231013,2,2,2
187,-74.0306958083,40.5294231013,2,2,2
188,-74.0206958083,40.5294231013,2,0,0
189,-74.0106958083,40.5294231013,0,0,0
190,-74.0006958083,40.5294231013,1,0,0
191,-73.9906958083,40.5294231013,0,0,0
192,-73.9806958083,40.5294231013,0,1,0
193,-73.9706958083,40.5294231013,0,0,0
194,-73.9606958083,40.5294231013,2,0,2
195,-73.9506958083,40.5294231013,2,0,2
196,-73.9406958083,40.5294231013,2,0,0
197,-73.9306958083,40.5294231013,0,0,0
198,-73.9206958083,40.5294231013,0,0,2
199,-73.9106958083,40.5294231013,0,0,0
200,-73.9006958083,40.5294231013,1,0,2
201,-73.8906958083,40.5294231013,1,2,2
202,-73.8806958083,40.5294231013,1,2,1
203,-73.8706958083,40.5294231013,1,2,1
204,-73.8606958083,40.5294231013,1,2,1
205,-73.8506958083,40.5294231013,2,2,1
206,-73.8406958083,40.5294231013,2,2,1
207,-73.8306958083,40.5294231013,0,2,2
208,-73.8206958083,40.5294231013,0,1,1
209,-73.8106958083,40.5294231013,0,1,1
210,-73.8006958083,40.5294231013,0,1,1
211,-73.7906958083,40.5294231013,0,0,0
212,-73.7806958083,40.5294231013,0,0,0
213,-73.7706958083,40.5294231013,0,0,0
214,-73.7606958083,40.5294231013,2,1,0
215,-73.7506958083,40.5294231013,0,0,0
216,-73.7406958083,40.5294231013,0,1,0
217,-73.7306958083,40.5294231013,0,1,0
218,-73.7206958083,40.5294231013,0,1,0
219,-73.7106958083,40.5294231013,0,1,0
220,-74.2506958083,40.5394231013,2,1,2
221,-74.2406958083,40.5394231013,0,2,2
222,-74.2306958083,40.5394231013,0,2,2
223,-74.2206958083,40.5394231013,0,2,2
224,-74.2106958083,40.5394231013,2,2,2
225,-74.2006958083,40.5394231013,2,2,2
226,-74.1906958083,40.5394231013,1,2,2
227,-74.1806958083,40.5394231013,2,2,2
228,-74.1706958083,40.5394231013,0,1,2
229,-74.1606958083,40.5394231013,1,2,1
230,-74.1506958083,40.5394231013,0,2,1
231,-74.1406958083,40.5394231013,0,2,2
232,-74.1306958083,40.5394231013,2,2,2
233,-74.1206958083,40.5394231013,0,2,2
234,-74.1106958083,40.5394231013,2,2,2
235,-74.1006958083,40.5394231013,2,2,2
236,-74.0906958083,40.5394231013,2,2,2
237,-74.0806958083,40.5394231013,2,2,2
238,-74.0706958083,40.5394231013,2,2,2
239,-74.0606958083,40.5394231013,2,2,2
240,-74.0506958083,40.5394231013,2,2,2
241,-74.0406958083,40.5394231013,2,2,2
242,-74.0306958083,40.5394231013,2,2,2
243,-74.0206958083,40.5394231013,2,2,2
244,-74.0106958083,40.5394231013,0,0,0
245,-74.0006958083,40.5394231013,1,0,0
246,-73.9906958083,40.5394231013,0,0,0
247,-73.9806958083,40.5394231013,0,1,1
248,-73.9706958083,40.5394231013,0,0,0
249,-73.9606958083,40.5394231013,2,0,2
250,-73.9506958083,40.5394231013,2,0,2
251,-73.9406958083,40.5394231013,0,0,0
252,-73.9306958083,40.5394231013,0,0,0
253,-73.9206958083,40.5394231013,0,0,0
254,-73.9106958083,40.5394231013,0,0,2
255,-73.9006958083,40.5394231013,1,0,2
256,-73.8906958083,40.5394231013,1,0,2
257,-73.8806958083,40.5394231013,1,2,1
258,-73.8706958083,40.5394231013,1,2,1
259,-73.8606958083,40.5394231013,1,2,1
260,-73.8506958083,40.5394231013,2,2,1
261,-73.8406958083,40.5394231013,2,2,1
262,-73.8306958083,40.5394231013,0,1,2
263,-73.8206958083,40.5394231013,0,1,1
264,-73.8106958083,40.5394231013,0,1,1
265,-73.8006958083,40.5394231013,0,1,1
266,-73.7906958083,40.5394231013,0,0,0
267,-73.7806958083,40.5394231013,0,0,0
268,-73.7706958083,40.5394231013,0,0,0
269,-73.7606958083,40.5394231013,2,1,0
270,-73.7506958083,40.5394231013,0,0,0
271,-73.7406958083,40.5394231013,0,1,0
272,-73.7306958083,40.5394231013,0,1,0
273,-73.7206958083,40.5394231013,0,1,0
274,-73.7106958083,40.5394231013,0,1,0
275,-74.2506958083,40.5494231013,0,2,2
276,-74.2406958083,40.5494231013,0,2,2
277,-74.2306958083,40.5494231013,2,2,2
278,-74.2206958083,40.5494231013,2,2,2
279,-74.2106958083,40.5494231013,0,2,2
280,-74.2006958083,40.5494231013,2,2,2
281,-74.1906958083,40.5494231013,1,2,2
282,-74.1806958083,40.5494231013,2,2,2
283,-74.1706958083,40.5494231013,2,2,2
284,-74.1606958083,40.5494231013,2,2,2
285,-74.1506958083,40.5494231013,2,1,1
286,-74.1406958083,40.5494231013,0,1,2
287,-74.1306958083,40.5494231013,2,2,2
288,-74.1206958083,40.5494231013,0,0,2
289,-74.1106958083,40.5494231013,2,2,2
290,-74.1006958083,40.5494231013,2,2,2
291,-74.0906958083,40.5494231013,2,2,2
292,-74.0806958083,40.5494231013,2,2,2
293,-74.0706958083,40.5494231013,2,2,2
294,-74.0606958083,40.5494231013,2,2,2
295,-74.0506958083,40.5494231013,2,2,2
296,-74.0406958083,40.5494231013,2,2,2
297,-74.0306958083,40.5494231013,2,2,2
298,-74.0206958083,40.5494231013,2,2,2
299,-74.0106958083,40.5494231013,0,0,0
300,-74.0006958083,40.5494231013,1,0,0
301,-73.9906958083,40.5494231013,0,0,0
302,-73.9806958083,40.5494231013,0,1,1
303,-73.9706958083,40.5494231013,0,0,0
304,-73.9606958083,40.5494231013,0,0,2
305,-73.9506958083,40.5494231013,2,0,0
306,-73.9406958083,40.5494231013,0,0,0
307,-73.9306958083,40.5494231013,0,2,0
308,-73.9206958083,40.5494231013,0,0,0
309,-73.9106958083,40.5494231013,0,0,0
310,-73.9006958083,40.5494231013,2,0,2
311,-73.8906958083,40.5494231013,1,0,2
312,-73.8806958083,40.5494231013,1,2,1
313,-73.8706958083,40.5494231013,1,2,1
314,-73.8606958083,40.5494231013,1,2,1
315,-73.8506958083,40.5494231013,2,2,1
316,-73.8406958083,40.5494231013,2,2,2
317,-73.8306958083,40.5494231013,0,1,1
318,-73.8206958083,40.5494231013,0,1,1
319,-73.8106958083,40.5494231013,0,1,1
320,-73.8006958083,40.5494231013,0,0,0
321,-73.7906958083,40.5494231013,0,0,0
322,-73.7806958083,40.5494231013,0,0,0
323,-73.7706958083,40.5494231013,0,0,1
324,-73.7606958083,40.5494231013,2,1,0
325,-73.7506958083,40.5494231013,0,0,0
326,-73.7406958083,40.5494231013,0,1,0
327,-73.7306958083,40.5494231013,0,1,0
328,-73.7206958083,40.5494231013,0,1,0
329,-73.7106958083,40.5494231013,0,1,0
330,-74.2506958083,40.5594231013,2,2,2
331,-74.2406958083,40.5594231013,2,2,2
332,-74.2306958083,40.5594231013,2,2,2
333,-74.2206958083,40.5594231013,2,2,2
334,-74.2106958083,40.5594231013,2,2,2
335,-74.2006958083,40.5594231013,2,2,2
336,-74.1906958083,40.5594231013,2,2,2
337,-74.1806958083,40.5594231013,2,2,2
338,-74.1706958083,40.5594231013,2,2,2
339,-74.1606958083,40.5594231013,0,0,2
340,-74.1506958083,40.5594231013,0,0,0
341,-74.1406958083,40.5594231013,2,2,2
342,-74.1306958083,40.5594231013,2,2,2
343,-74.1206958083,40.5594231013,0,0,0
344,-74.1106958083,40.5594231013,2,2,2
345,-74.1006958083,40.5594231013,2,2,2
346,-74.0906958083,40.5594231013,2,2,2
347,-74.0806958083,40.5594231013,2,2,2
348,-74.0706958083,40.5594231013,2,2,2
349,-74.0606958083,40.5594231013,2,2,2
350,-74.0506958083,40.5594231013,0,2,0
351,-74.0406958083,40.5594231013,2,2,2
352,-74.0306958083,40.5594231013,2,2,2
353,-74.0206958083,40.5594231013,2,2,2
354,-74.0106958083,40.5594231013,2,0,0
355,-74.0006958083,40.5594231013,0,0,0
356,-73.9906958083,40.5594231013,0,0,1
357,-73.9806958083,40.5594231013,1,1,1
358,-73.9706958083,40.5594231013,0,0,0
359,-73.9606958083,40.5594231013,0,0,0
360,-73.9506958083,40.5594231013,2,0,0
361,-73.9406958083,40.5594231013,0,0,0
362,-73.9306958083,40.5594231013,0,2,0
363,-73.9206958083,40.5594231013,0,0,0
364,-73.9106958083,40.5594231013,0,0,0
365,-73.9006958083,40.5594231013,2,0,2
366,-73.8906958083,40.5594231013,1,0,2
367,-73.8806958083,40.5594231013,1,2,1
368,-73.8706958083,40.5594231013,1,2,1
369,-73.8606958083,40.5594231013,1,2,1
370,-73.8506958083,40.5594231013,2,2,1
371,-73.8406958083,40.5594231013,2,0,2
372,-73.8306958083,40.5594231013,0,1,1
373,-73.8206958083,40.5594231013,0,1,1
374,-73.8106958083,40.5594231013,0,1,1
375,-73.8006958083,40.5594231013,0,0,0
376,-73.7906958083,40.5594231013,0,0,0
377,-73.7806958083,40.5594231013,0,0,0
378,-73.7706958083,40.5594231013,0,1,1
379,-73.7606958083,40.5594231013,2,1,0
380,-73.7506958083,40.5594231013,0,0,0
381,-73.7406958083,40.5594231013,0,1,0
382,-73.7306958083,40.5594231013,0,1,0
383,-73.7206958083,40.5594231013,0,1,0
384,-73.7106958083,40.5594231013,0,1,0
385,-74.2506958083,40.5694231013,2,2,2
386,-74.2406958083,40.5694231013,2,2,2
387,-74.2306958083,40.5694231013,2,2,2
388,-74.2206958083,40.5694231013,2,2,2
389,-74.2106958083,40.5694231013,2,2,2
390,-74.2006958083,40.5694231013,2,2,2
391,-74.1906958083,40.5694231013,2,2,2
392,-74.1806958083,40.5694231013,1,2,2
393,-74.1706958083,40.5694231013,1,2,0
394,-74.1606958083,40.5694231013,2,0,0
395,-74.1506958083,40.5694231013,2,0,2
396,-74.1406958083,40.5694231013,1,2,2
397,-74.1306958083,40.5694231013,0,2,2
