,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2015994,-73.9384069277,40.7529976158,1,0,1,3,0
2015995,-73.9215345636,40.6232667376,0,2,1,0,1
2015996,-73.7904844522,40.8464162485,1,0,2,4,5
2016063,-73.926442328,40.8082887947,1,0,2,4,0
2016065,-73.9901991938,40.7631856891,0,0,1,3,0
2016116,-73.8107216502,40.7333021807,1,1,0,1,2
2016148,-73.9136170119,40.8234197807,1,0,2,4,5
2016195,-73.9043503894,40.6693276958,0,1,1,0,4
2016342,-74.1327686315,40.5989171573,0,2,3,2,3
2016388,-73.9795133414,40.7886966171,1,0,2,3,0
2016392,-73.9229156166,40.8622502737,1,0,2,4,5
2016401,-73.8883380589,40.8177960994,1,0,2,4,5
2016416,-73.9744832465,40.6086609359,0,2,1,0,1
2016438,-73.9701237865,40.6364316831,0,2,1,0,1
2016440,-73.9732502045,40.6389274641,0,2,1,0,1
2016462,-73.9914086833,40.5938607568,0,2,3,0,1
2016463,-73.945585989,40.8368033101,1,0,2,4,0
2016465,-73.9977848332,40.7242353362,0,2,1,3,4
2016471,-73.8279385204,40.8150292122,1,0,2,4,5
2016550,-73.9224803406,40.702209989,0,2,1,3,4
2016556,-73.9648655633,40.796526543,1,0,2,3,0
2016557,-73.8251788937,40.7680900756,1,1,0,1,2
2016594,-73.974345478,40.7890990582,1,0,2,3,0
2016626,-73.8096968243,40.721959132,1,1,0,1,2
2016629,-73.8698761838,40.8696682304,1,0,2,4,5
2016662,-73.897524203,40.8843362869,1,0,2,4,5
2016681,-73.9989684182,40.7088207785,0,2,1,3,4
2016799,-73.9764178472,40.7191551391,0,2,1,3,4
2016801,-73.8591247289,40.6965779996,1,1,0,1,2
2016853,-73.8188295932,40.8314424229,1,0,2,4,5
2016854,-73.9231067018,40.865829488,1,0,2,4,5
2016855,-73.7830032269,40.6866854976,1,1,0,1,2
2016897,-73.9475758353,40.6872267389,0,2,1,0,4
2016930,-73.8106053789,40.7348555239,1,1,0,1,2
2016931,-73.8277451234,40.7292337214,1,1,0,1,2
2016983,-74.023526767,40.6235710762,0,2,3,0,1
2016985,-73.9383714254,40.8225820605,1,0,2,4,0
2016991,-73.8337184638,40.7067299414,1,1,0,1,2
2016992,-73.9570640584,40.6177547412,0,2,1,0,1
2017057,-73.9172214971,40.8216658049,1,0,2,4,0
2017080,-73.9887989378,40.7609568302,0,0,1,3,0
2017092,-73.917265014,40.8215368344,1,0,2,4,0
2017130,-73.8515162682,40.7269969114,1,1,0,1,2
2017146,-73.8636760113,40.6806226221,0,1,0,1,2
2017150,-73.8665721239,40.8585319521,1,0,2,4,5
2017212,-73.8598336786,40.738452977,1,1,0,1,2
2017257,-73.9560578979,40.7563680156,1,0,1,3,0
